time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
150,13,2016,500,9.274445809999998,4.04,0.36233052611351013,0.001,1015,0.0026980789843946695,-3.423891305923462,-10.129419326782227
149,13,2032,504,9.27298477,4.04,0.3565780818462372,0.001,1031,0.004425792954862118,-3.4630444049835205,-10.121356964111328
148,13,2048,508,9.27869406,4.03,0.3509208559989929,0.001,1047,0.005137680098414421,-3.5093483924865723,-10.082794189453125
147,14,2064,512,9.278709930000002,4.03,0.345350980758667,0.001,1063,0.0033074109815061092,-3.5679478645324707,-10.051162719726562
146,14,2080,516,9.280533859999998,4.03,0.33986446261405945,0.001,1079,0.0046726712025702,-3.605898141860962,-10.052288055419922
144,14,2096,520,9.27986737,4.03,0.33447790145874023,0.001,1095,0.005113036371767521,-3.700138807296753,-10.075896263122559
143,14,2112,524,9.282074719999999,4.03,0.32917726039886475,0.001,1111,0.003144213231280446,-3.7385671138763428,-10.029458045959473
142,14,2128,528,9.2863065,4.03,0.3239558935165405,0.001,1127,0.002632549498230219,-3.782043695449829,-9.991841316223145
141,15,2144,532,9.290964959999998,4.03,0.3188149333000183,0.001,1143,0.0038491818122565746,-3.848159074783325,-10.01063060760498
141,15,2160,536,9.293791729999999,4.03,0.31375622749328613,0.001,1159,0.0023333579301834106,-3.9114818572998047,-10.005868911743164
140,15,2176,540,9.297696069999999,4.03,0.3087775707244873,0.001,1175,0.0024126237258315086,-3.929412841796875,-9.942070007324219
139,15,2192,544,9.299853,4.03,0.30387941002845764,0.001,1191,0.0024202752392739058,-4.002739906311035,-9.909896850585938
138,15,2208,548,9.296506280000003,4.03,0.29906225204467773,0.001,1207,0.002093043178319931,-4.052237510681152,-9.92144775390625
138,16,2224,552,9.301297900000002,4.01,0.294321745634079,0.001,1223,0.001994652207940817,-4.0858330726623535,-9.896099090576172
136,16,2240,556,9.29768902,4.01,0.2896490693092346,0.001,1239,0.004599946551024914,-4.168963432312012,-9.894301414489746
136,16,2256,560,9.301355899999999,4.01,0.285055011510849,0.001,1255,0.0018614905420690775,-4.221275329589844,-9.898576736450195
135,16,2273,564,9.299544529999999,4.02,0.28025901317596436,0.001,1272,0.002277571242302656,-4.264548301696777,-9.83012580871582
134,16,2289,568,9.30181814,4.02,0.27582135796546936,0.001,1288,0.004948985762894154,-4.330996036529541,-9.903299331665039
133,17,2305,572,9.30182923,4.02,0.2714412808418274,0.001,1304,0.0045690517872571945,-4.388790130615234,-9.836060523986816
133,17,2321,576,9.297092569999998,4.02,0.2671312391757965,0.001,1320,0.0030432716012001038,-4.412238121032715,-9.814960479736328
132,17,2337,580,9.300702770000001,4.01,0.26289016008377075,0.001,1336,0.0016963798552751541,-4.4314069747924805,-9.816965103149414
132,17,2353,584,9.30089782,4.01,0.2587195336818695,0.001,1352,0.0021052039228379726,-4.562320709228516,-9.830182075500488
131,18,2370,588,9.29828349,4.02,0.25436103343963623,0.001,1369,0.003262551501393318,-4.600948810577393,-9.73446273803711
130,18,2386,592,9.300705310000001,4.02,0.25032925605773926,0.001,1385,0.0026553517673164606,-4.63736629486084,-9.749730110168457
129,18,2402,596,9.29966237,4.02,0.24635934829711914,0.001,1401,0.00378151866607368,-4.674162864685059,-9.708552360534668
129,18,2418,600,9.30050188,4.02,0.24245275557041168,0.001,1417,0.0022436922881752253,-4.730586051940918,-9.781079292297363
